Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4
1656309,Name a case where you can have more than one mode.,25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656310,"You have 25 college students. You are interested in knowing the breakdown of sex in these 25 students. After counting, you see there are 17 male students and 8 female students. What is the relative frequency of female students?",25,8,12,5,46,24,1,0.96,0.04,8,12,4,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,0.2703715031582879,-0.2703715031582878,,
1656311,"You have 25 college students. You are interested in knowing the breakdown of sex in these 25 students. After counting, you see there are 17 male students and 8 female students. What is the cumulative frequency of both males and females?",24,8,12,4,46,19,5,0.7916666666666666,0.20833333333333334,7,11,1,0.6597222222222222,0.8122328620674136,0.7916666666666666,0.8564430835120929,0.5069244566578596,-0.22633911309482435,,-0.43104729067429925
1656312,What is the proportion of area under the curve if a participant is in the 50% percentile?,25,8,12,5,46,18,7,0.72,0.28,4,10,4,0.8064,0.8979977728257459,0.72,0.8564430835120929,-0.20935448031951298,0.2051246608593402,0.26459109105044015,-0.2703715031582878
1656313,The mode is the middle value of the distribution.,25,8,12,5,46,24,1,0.96,0.04,8,11,5,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,0.20059821202066538,-0.20059821202066527,,
1656314,To calculate the mean you...,25,8,12,5,46,23,2,0.92,0.08,8,11,4,0.2944,0.5425863986500215,0.92,0.8564430835120929,0.2708908789325934,,-0.27089087893259345,
1656315,"What is the median of the following set of numbers (2, 3, 4, 4, 5, 7, 9, 10, 12)?",25,8,12,5,46,24,1,0.96,0.04,8,11,5,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,-0.026164984176608515,,,0.026164984176608497
1656316,Which score deviates the most from a mean of 0?,25,8,12,5,46,17,8,0.68,0.32,8,7,2,0.8704000000000001,0.9329523031752481,0.68,0.8564430835120929,0.4543149973935197,-0.13082492088304248,-0.27874606445139477,-0.2610677501846145
1656317,"What is the mean for the following numbers?
Note. If using an R script, copy everything below.
numbers = c(10, 10, 13, 14, 17, 18, 14, 13, 18, 12)
numbers
",25,8,12,5,46,22,3,0.88,0.12,8,10,4,0.4224,0.6499230723708769,0.88,0.8564430835120929,0.28926478386465526,-0.11339618187876016,-0.32270147151150474,
1656318,"What is the median for the following numbers?
Note. If using an R script, copy everything below.
numbers = c(10, 10, 13, 14, 17, 18, 14, 13, 18, 12)
numbers",25,8,12,5,46,22,3,0.88,0.12,8,10,4,0.4224,0.6499230723708769,0.88,0.8564430835120929,0.22089310767846385,,-0.11339618187876016,-0.20931987341286798
1656320,What is the difference between a measure of variability and a measure of central tendency?,25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656321,"I give out an exam, where student grades are 10, 8, 3, 15, and 30. What is the range of scores on this exam?",25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656322,What is the difference between variance and standard deviation?,25,8,12,5,46,13,12,0.52,0.48,7,5,1,0.9984000000000001,0.9991996797437438,0.52,0.8564430835120929,0.5644513129935016,-0.28437737073681224,-0.11339618187876016,-0.3441524520043944
1656323,How is range calculated?,25,8,12,5,46,7,18,0.28,0.72,4,3,0,0.8064,0.8979977728257459,0.28,0.8564430835120929,0.5443216488307342,-0.5443216488307342,,
1656324,Unbiased estimators use sample data to estimate variability in the population,25,8,12,5,46,23,2,0.92,0.08,7,11,5,0.2944,0.5425863986500215,0.92,0.8564430835120929,-0.1826938485824468,0.18269384858244686,,
1656327,To estimate the population variance and standard deviation you should...,25,8,12,5,46,22,3,0.88,0.12,8,10,4,0.4224,0.6499230723708769,0.88,0.8564430835120929,0.29978350327791536,,-0.40991808543353325,-0.06299787882153339
1656332,What are the following values referred to collectively? 8^2 + 10^2 + 3^2 + 8^2,25,8,12,5,46,24,1,0.96,0.04,8,12,4,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,0.4099180854335335,-0.40991808543353325,,
1656382,"
What is A?",25,8,12,5,46,21,4,0.84,0.16,7,10,4,0.5376,0.7332121111929344,0.84,0.8564430835120929,-0.08391463398791192,0.08391463398791192,,
1656383,"
What is B?",25,8,12,5,46,23,2,0.92,0.08,8,11,4,0.2944,0.5425863986500215,0.92,0.8564430835120929,0.3149893941076665,-0.20059821202066527,-0.2354848575894765,
1656384,"
What is A?",25,8,12,5,46,22,3,0.88,0.12,8,11,3,0.4224,0.6499230723708769,0.88,0.8564430835120929,0.38393325858399685,,-0.16379448493598658,-0.40991808543353325
1656385,"
What is B?",25,8,12,5,46,17,8,0.68,0.32,8,6,3,0.8704000000000001,0.9329523031752481,0.68,0.8564430835120929,0.43233201364867213,-0.4377411861226181,,-0.026164984176608497
1656386,"
What is C?",25,8,12,5,46,24,1,0.96,0.04,8,11,5,0.15360000000000001,0.3919183588453085,0.96,0.8564430835120929,0.20059821202066538,-0.20059821202066527,,
1656387,"
What is A?",25,8,12,5,46,4,21,0.16,0.84,2,2,0,0.5375999999999999,0.7332121111929343,0.16,0.8564430835120929,0.27971544662637293,-0.40991808543353325,-0.17881823002542313,0.07694044310696735
1656388,What is the difference between the sampling distribution and a distribution of raw scores?,24,8,11,5,46,16,8,0.6666666666666666,0.3333333333333333,6,7,3,0.888888888888889,0.9428090415820634,0.6666666666666666,0.8564430835120929,0.391898368095108,-0.14800819413203564,0.004774457875226925,-0.3894915999805614
1656389,What is the mean and standard deviation of the z-distribution?,25,8,12,5,46,25,0,1.0,0.0,8,12,5,0.0,0.0,1.0,0.8564430835120929,,,,
1656390,What is the critical value for a two-tailed z-distribution?,25,8,12,5,46,15,10,0.6,0.4,7,6,2,0.96,0.9797958971132712,0.6,0.8564430835120929,0.5058563607477642,-0.3401885456362801,-0.3334085867968572,
1656391,What is the area between a z-score of -.4 and the mean?,24,8,12,4,46,14,10,0.5833333333333334,0.4166666666666667,6,7,1,0.9722222222222223,0.9860132971832694,0.5833333333333334,0.8564430835120929,0.44265797072613877,-0.3924496644635481,-0.15255794210296325,-0.033895475084806406
1656392,What is the area at or under a z-score of 1.5?,24,8,12,4,46,17,7,0.7083333333333334,0.2916666666666667,7,9,1,0.8263888888888888,0.9090593428863095,0.7083333333333334,0.8564430835120929,0.5059779358882159,-0.35395766604953494,-0.32540730694075964,
1656393,What is the percentage for the area of the z-distribution between -3 and +3 sd?,24,8,12,4,46,20,4,0.8333333333333334,0.16666666666666666,8,12,0,0.5555555555555556,0.7453559924999299,0.8333333333333334,0.8564430835120929,0.6684117643152135,-0.3001202840866857,-0.5718766574528128,
1656394,"
What is the area between +1sd and the mean (A)?",23,8,11,4,46,17,6,0.7391304347826086,0.2608695652173913,8,7,2,0.7712665406427222,0.8782178207271373,0.7391304347826086,0.8564430835120929,0.5099999651518938,-0.31068024558144036,-0.3893319987887432,
1656395,"You are interested in studying all UC doctoral students and the amount of coffee they drink in a given day. You find out that all UC doctoral students, on average, drink 4 cups of coffee a day, with a standard deviation of 3.1. You decide to see if a sample of 500 students that you gathered are similar to all UC doctoral students. You see that these 500 students have on average 4.3 cups of coffee a day. What is the standard error of the mean?",23,8,11,4,46,15,8,0.6521739130434783,0.34782608695652173,7,8,0,0.9073724007561437,0.9525609695742019,0.6521739130434783,0.8564430835120929,0.5562719511406182,-0.37534427585850866,-0.36250737167971114,
1656396,"You are interested in studying all UC doctoral students and the amount of coffee they drink in a given day. You find out that all UC doctoral students, on average, drink 4 cups of coffee a day, with a standard deviation of 3.1. You decide to see if a sample of 500 students that you gathered are similar to all UC doctoral students. You see that these 500 students have on average 4.3 cups of coffee a day. What is the z-score for your sample of doctoral students?",23,8,11,4,46,7,16,0.30434782608695654,0.6956521739130435,6,1,0,0.8468809073724008,0.9202613255876837,0.30434782608695654,0.8564430835120929,0.6796518749561788,-0.4842817705303602,-0.07057636252054951,-0.14595978378862864
1656397,"Your friend is a horrible horrible person that mixes 25 skittles and 25 mm's together in a bowl at a party. Your friend is interested in the likelihood of someone grabbing a blue candy out of the bowl. Along with being a horrible person, this friend is also a stats nerd and separated the candies by color to count their relative frequencies. Your friend knows there are 15 blue skittles, 7 green skittles, 1 yellow skittle, and 2 red skittles. Your friend also knows that there are 2 blue mm's, 20 brown mm's and 3 green mm's. What is the probability that someone will get a blue candy out of the bowl of mixed candies?",23,8,11,4,46,21,2,0.9130434782608695,0.08695652173913043,7,11,3,0.31758034026465026,0.5635426694267704,0.9130434782608695,0.8564430835120929,0.23337772516182925,-0.4601316578349959,0.13767399117922646,
